"OBÈINE","SKD DEJAVNOST","2021 (zaèasni podatki)"
"Braslovèe","U Dejavnost eksteritorialnih organizacij in teles",0
"Braslovèe","X Neznano",353057
"Brda","SKD Dejavnost - SKUPAJ",7643141
"Brda","A Kmetijstvo in lov, gozdarstvo, ribištvo",14060
"Brda","B Rudarstvo",0
"Brda","C Predelovalne dejavnosti",1864140
"Brda","D Oskrba z elektrièno energijo, plinom in paro",2396
"Brda","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",74908
"Brda","F Gradbeništvo",91828
"Brda","G Trgovina, vzdrževanje in popravila motornih vozil",644185
"Brda","H Promet in skladišèenje",51119
"Brda","I Gostinstvo",1423514
"Brda","J Informacijske in komunikacijske dejavnosti",554129
"Brda","K Finanène in zavarovalniške dejavnosti",64770
"Brda","L Poslovanje z nepremièninami",36856
"Brda","M Strokovne, znanstvene in tehniène dejavnosti",9149
"Brda","N Druge raznovrstne poslovne dejavnosti",239860
"Brda","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",365454
"Brda","P Izobraževanje",256118
"Brda","Q Zdravstvo in socialno varstvo",225289
"Brda","R Kulturne, razvedrilne in rekreacijske dejavnosti",1190993
"Brda","S Druge dejavnosti",34152
"Brda","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Brda","U Dejavnost eksteritorialnih organizacij in teles",0
"Brda","X Neznano",500221
"Brezovica","SKD Dejavnost - SKUPAJ",11035403
"Brezovica","A Kmetijstvo in lov, gozdarstvo, ribištvo",18603
"Brezovica","B Rudarstvo",0
"Brezovica","C Predelovalne dejavnosti",1270755
"Brezovica","D Oskrba z elektrièno energijo, plinom in paro",1133
"Brezovica","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",1172091
"Brezovica","F Gradbeništvo",602752
"Brezovica","G Trgovina, vzdrževanje in popravila motornih vozil",3399085
"Brezovica","H Promet in skladišèenje",34102
"Brezovica","I Gostinstvo",861426
"Brezovica","J Informacijske in komunikacijske dejavnosti",568189
"Brezovica","K Finanène in zavarovalniške dejavnosti",4346
"Brezovica","L Poslovanje z nepremièninami",683082
"Brezovica","M Strokovne, znanstvene in tehniène dejavnosti",119155
"Brezovica","N Druge raznovrstne poslovne dejavnosti",22726
"Brezovica","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",592897
"Brezovica","P Izobraževanje",855788
"Brezovica","Q Zdravstvo in socialno varstvo",463184
"Brezovica","R Kulturne, razvedrilne in rekreacijske dejavnosti",13231
"Brezovica","S Druge dejavnosti",9577
"Brezovica","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Brezovica","U Dejavnost eksteritorialnih organizacij in teles",0
"Brezovica","X Neznano",343281
"Brežice","SKD Dejavnost - SKUPAJ",53158908
"Brežice","A Kmetijstvo in lov, gozdarstvo, ribištvo",490812
"Brežice","B Rudarstvo",0
"Brežice","C Predelovalne dejavnosti",11396282
"Brežice","D Oskrba z elektrièno energijo, plinom in paro",114639
"Brežice","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",2211983
"Brežice","F Gradbeništvo",1390226
"Brežice","G Trgovina, vzdrževanje in popravila motornih vozil",9272397
"Brežice","H Promet in skladišèenje",1627731
"Brežice","I Gostinstvo",12324682
"Brežice","J Informacijske in komunikacijske dejavnosti",1220030
"Brežice","K Finanène in zavarovalniške dejavnosti",165588
"Brežice","L Poslovanje z nepremièninami",1475255
"Brežice","M Strokovne, znanstvene in tehniène dejavnosti",658365
"Brežice","N Druge raznovrstne poslovne dejavnosti",214456
"Brežice","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",5046574
"Brežice","P Izobraževanje",1764425
"Brežice","Q Zdravstvo in socialno varstvo",2025907
"Brežice","R Kulturne, razvedrilne in rekreacijske dejavnosti",601422
"Brežice","S Druge dejavnosti",416956
"Brežice","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Brežice","U Dejavnost eksteritorialnih organizacij in teles",0
"Brežice","X Neznano",741178
"Cankova","SKD Dejavnost - SKUPAJ",1845345
"Cankova","A Kmetijstvo in lov, gozdarstvo, ribištvo",16548
"Cankova","B Rudarstvo",0
"Cankova","C Predelovalne dejavnosti",254824
"Cankova","D Oskrba z elektrièno energijo, plinom in paro",8747
"Cankova","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",97519
"Cankova","F Gradbeništvo",619134
"Cankova","G Trgovina, vzdrževanje in popravila motornih vozil",255376
"Cankova","H Promet in skladišèenje",0
"Cankova","I Gostinstvo",125465
"Cankova","J Informacijske in komunikacijske dejavnosti",75140
"Cankova","K Finanène in zavarovalniške dejavnosti",0
"Cankova","L Poslovanje z nepremièninami",0
"Cankova","M Strokovne, znanstvene in tehniène dejavnosti",89330
"Cankova","N Druge raznovrstne poslovne dejavnosti",0
"Cankova","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",175386
"Cankova","P Izobraževanje",79956
"Cankova","Q Zdravstvo in socialno varstvo",6856
"Cankova","R Kulturne, razvedrilne in rekreacijske dejavnosti",96
"Cankova","S Druge dejavnosti",11122
"Cankova","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Cankova","U Dejavnost eksteritorialnih organizacij in teles",0
"Cankova","X Neznano",29846
"Celje","SKD Dejavnost - SKUPAJ",266107748
"Celje","A Kmetijstvo in lov, gozdarstvo, ribištvo",65656
"Celje","B Rudarstvo",54001
"Celje","C Predelovalne dejavnosti",157612609
"Celje","D Oskrba z elektrièno energijo, plinom in paro",727075
"Celje","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",9090543
"Celje","F Gradbeništvo",1999503
"Celje","G Trgovina, vzdrževanje in popravila motornih vozil",24267301
"Celje","H Promet in skladišèenje",3223999
"Celje","I Gostinstvo",6918172
"Celje","J Informacijske in komunikacijske dejavnosti",3071280
"Celje","K Finanène in zavarovalniške dejavnosti",1080834
"Celje","L Poslovanje z nepremièninami",22167440
"Celje","M Strokovne, znanstvene in tehniène dejavnosti",12163492
"Celje","N Druge raznovrstne poslovne dejavnosti",1489754
"Celje","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",6783593
"Celje","P Izobraževanje",4393958
"Celje","Q Zdravstvo in socialno varstvo",5110837
"Celje","R Kulturne, razvedrilne in rekreacijske dejavnosti",1778413
"Celje","S Druge dejavnosti",972195
"Celje","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Celje","U Dejavnost eksteritorialnih organizacij in teles",0
"Celje","X Neznano",3137093
"Cerklje na Gorenjskem","SKD Dejavnost - SKUPAJ",33223182
"Cerklje na Gorenjskem","A Kmetijstvo in lov, gozdarstvo, ribištvo",242600
"Cerklje na Gorenjskem","B Rudarstvo",0
"Cerklje na Gorenjskem","C Predelovalne dejavnosti",9824717
"Cerklje na Gorenjskem","D Oskrba z elektrièno energijo, plinom in paro",17728
"Cerklje na Gorenjskem","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",84346
"Cerklje na Gorenjskem","F Gradbeništvo",141160
"Cerklje na Gorenjskem","G Trgovina, vzdrževanje in popravila motornih vozil",1468172
"Cerklje na Gorenjskem","H Promet in skladišèenje",13035157
"Cerklje na Gorenjskem","I Gostinstvo",1191837
"Cerklje na Gorenjskem","J Informacijske in komunikacijske dejavnosti",1171870
"Cerklje na Gorenjskem","K Finanène in zavarovalniške dejavnosti",33057
"Cerklje na Gorenjskem","L Poslovanje z nepremièninami",353577
"Cerklje na Gorenjskem","M Strokovne, znanstvene in tehniène dejavnosti",208928
"Cerklje na Gorenjskem","N Druge raznovrstne poslovne dejavnosti",43145
"Cerklje na Gorenjskem","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",1251143
"Cerklje na Gorenjskem","P Izobraževanje",557449
"Cerklje na Gorenjskem","Q Zdravstvo in socialno varstvo",476559
"Cerklje na Gorenjskem","R Kulturne, razvedrilne in rekreacijske dejavnosti",2519795
"Cerklje na Gorenjskem","S Druge dejavnosti",80428
