"OBÈINE","SKD DEJAVNOST","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"Koper/Capodistria","H Promet in skladišèenje",3358746,3014175,3350106,2878224,3012718,3132543,2813894,2610954,2813102,2874637,3022122,3367314,3292820,617605,6359006,3377620,3208176,3306218,3418788,3230358,3123223,3139661,3202965,2987984,3017919,2835199,3159212,2689814,3247439,3645930,3327587,3268363,2998906
"Koper/Capodistria","I Gostinstvo",957214,838942,609547,312643,478734,774167,968496,1048496,944592,765953,473322,462829,435274,407374,465684,443141,682263,947587,1064542,1083609,925310,847009,815672,950984,938779,837017,933876,843654,915406,1051599,1144291,1095089,900366
"Koper/Capodistria","J Informacijske in komunikacijske dejavnosti",598820,532638,558142,493162,502143,518723,550477,560031,518861,504048,506133,540085,558880,487411,526576,473040,478918,507587,547191,544320,481878,493277,495453,544549,543528,479974,530220,472602,477701,495934,530667,512936,457781
"Koper/Capodistria","K Finanène in zavarovalniške dejavnosti",292870,276944,255438,199265,211689,241046,293568,302738,258904,264241,288038,344237,351106,296663,303015,257682,224881,259358,295429,274882,229117,250307,282656,350963,298178,304258,325858,252333,234190,268186,296098,281113,231273
"Koper/Capodistria","L Poslovanje z nepremièninami",3133456,2978157,2651595,1995626,2462545,2959355,3172873,3313928,3137703,3298508,2794833,2962016,3020499,2994040,3023939,2921041,3220277,3291416,3448948,3122448,3311700,3455705,3284764,3343814,3318124,3177868,3321619,3008326,3399161,3537217,3527685,3529004,3259010
"Koper/Capodistria","M Strokovne, znanstvene in tehniène dejavnosti",145062,118900,96738,65906,67444,84405,100863,104121,86045,98291,95558,123719,136083,110344,109961,89108,78923,99682,119640,110733,90530,92382,105537,146640,156742,124254,134791,93319,92712,109704,129411,120387,93092
"Koper/Capodistria","N Druge raznovrstne poslovne dejavnosti",95261,95917,52624,27192,28728,39530,55173,59939,46080,42863,49758,59437,68294,61701,59563,46142,40292,52763,73462,65766,50928,46857,62079,100799,88903,60852,67029,48500,41376,54880,62644,54471,43999
"Koper/Capodistria","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",716837,572304,571756,423964,404072,422770,481758,503951,494695,525845,550594,644872,628336,579244,545144,452467,397416,450178,509028,511969,485922,528284,569688,674571,648728,544332,579747,466814,440621,484055,532427,535436,499957
"Koper/Capodistria","P Izobraževanje",612162,511102,397603,183464,218233,322433,353379,354151,427959,388031,323893,417037,493077,471697,561746,396886,368445,441080,407410,377736,425538,442119,542977,669336,708365,536297,559925,407591,392140,492036,453330,368076,419082
"Koper/Capodistria","Q Zdravstvo in socialno varstvo",313649,261885,252554,188417,190851,204240,237386,241411,211455,209632,255306,305191,317293,273328,280281,226284,186694,217915,241400,226745,199348,213432,244981,296529,306698,256200,258894,204513,192396,221349,243529,226102,196985
"Koper/Capodistria","R Kulturne, razvedrilne in rekreacijske dejavnosti",443274,409934,309188,189612,212324,262497,304147,308012,332164,318449,298123,367400,398540,367456,421933,323048,285414,340788,333853,324790,333625,341541,373498,428944,461017,415153,449763,349473,317162,364232,365575,353926,329760
"Koper/Capodistria","S Druge dejavnosti",142208,127794,104820,63544,70630,82645,108903,102990,95144,91805,78802,111281,129676,115788,120408,78218,80535,100716,107141,97782,85865,86105,110096,151066,164902,139995,144321,104306,92976,106632,116489,107459,84125
"Koper/Capodistria","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Koper/Capodistria","U Dejavnost eksteritorialnih organizacij in teles",0,0,0,0,z,z,z,z,z,z,z,z,z,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Koper/Capodistria","X Neznano",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","SKD Dejavnost - SKUPAJ",404678,358420,357375,224768,256371,291566,334678,320369,330623,371200,398662,405349,462767,435989,508913,432813,458665,468905,486381,428320,486393,491815,502702,477562,571691,504662,597728,510830,511392,468033,421660,373443,378002
"Kostanjevica na Krki","A Kmetijstvo in lov, gozdarstvo, ribištvo",2567,2162,2935,2838,1188,1099,4158,2336,4086,4098,1114,1370,1133,977,1610,2339,1034,1276,3247,2737,2557,932,1208,1697,1878,2154,1920,1614,1869,2956,4121,4540,1619
"Kostanjevica na Krki","B Rudarstvo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kostanjevica na Krki","C Predelovalne dejavnosti",196043,188664,205675,117962,138777,156504,195460,170174,183978,219640,253611,234951,294269,287033,342343,293771,314675,322882,330597,287081,343358,338631,330829,279913,373139,334366,404039,343482,363822,324416,268469,220517,235848
"Kostanjevica na Krki","D Oskrba z elektrièno energijo, plinom in paro",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","F Gradbeništvo",z,z,z,z,z,z,z,z,z,7201,8334,6735,5885,5962,8728,8126,6216,5501,6356,4556,5995,7386,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","G Trgovina, vzdrževanje in popravila motornih vozil",32063,28964,28679,24429,28798,32107,34486,36163,32943,30440,28015,29501,25526,24828,30114,27750,31381,37027,37802,37195,32972,30378,30462,29607,29882,26294,29417,27381,30694,35077,37148,39919,32143
"Kostanjevica na Krki","H Promet in skladišèenje",z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kostanjevica na Krki","I Gostinstvo",14601,16698,12137,N,14437,21687,23925,25273,21089,12081,5918,6783,8613,6579,11582,8963,16300,23628,26533,22593,21410,19048,16551,17736,16823,13757,15974,15895,20549,24020,25635,23384,19812
"Kostanjevica na Krki","J Informacijske in komunikacijske dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","K Finanène in zavarovalniške dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","L Poslovanje z nepremièninami",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","M Strokovne, znanstvene in tehniène dejavnosti",4987,3661,3735,3181,2706,2610,2332,2418,2401,3156,5038,7243,6546,4182,3988,3292,2722,2815,2881,2471,2347,3087,4117,6547,6129,4473,4008,3107,2662,2684,2792,2606,2388
"Kostanjevica na Krki","N Druge raznovrstne poslovne dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",18057,15321,14100,11492,11096,10874,11755,13468,13566,18289,20099,25803,22589,18527,18073,12976,12687,10907,11286,13251,13000,15063,16828,19811,19471,15925,15471,12429,12503,9639,12020,12373,13473
"Kostanjevica na Krki","P Izobraževanje",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","Q Zdravstvo in socialno varstvo",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","R Kulturne, razvedrilne in rekreacijske dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Kostanjevica na Krki","S Druge dejavnosti",876,729,872,684,810,847,505,1048,744,50,462,591,1039,552,636,563,737,453,1198,1175,736,956,571,949,652,536,663,779,646,573,1002,1046,779
"Kostanjevica na Krki","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kostanjevica na Krki","U Dejavnost eksteritorialnih organizacij in teles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kostanjevica na Krki","X Neznano",4589,3199,2357,1352,1945,2987,3917,4091,3797,3099,1655,1590,1244,1469,1577,1274,1918,3654,3893,3986,3332,1764,1420,5454,2934,3072,2755,936,1623,1506,1761,1803,2581
